Problem Name	1	2	3	4	5	6	7	8
%(startStateNodeName)%	example1	example2	example3					
%(statement)%	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."
%(graphic)%	Assets/01.png	Assets/02.png	Assets/03.png	Assets/04.png	Assets/05.png	Assets/06.png	Assets/07.png	Assets/08.png
%(question1)%	What percent of the shapes are squares?	What percent of the shapes are green?	What percent of the shapes are yellow?	What percent of the shapes are circles?	What percent of the shapes are red or blue?	What percent of the shapes are not yellow?	What percent of the shapes are squares?	What percent of the shapes are blue circles?
%(question2)%	What percent of the shapes are purple?	What percent of the shapes are yellow?	What percent of the shapes are circles?	What percent of the shapes are yellow?	What percent of the shapes are not purple?	What percent of the shapes are red circles?	What percent of the shapes are purple?	What percent of the shapes are yellow or green?
%(question3)%	What percent of the shapes are not blue?	What percent of the shapes are blue?	What percent of the shapes are not yellow?	What percent of the shapes are green or blue?	What percent of the shapes are squares?	What percent of the shapes are purple?	What percent of the shapes are yellow or blue?	What percent of the shapes are not purple?
%(question4)%	What percent of the shapes are red?	What percent of the shapes are not blue?	What percent of the shapes are blue or red?	What percent of the shapes are squares?	What percent of the shapes are blue squares?	What percent of the shapes are not red?	What percent of the shapes are circles?	What percent of the shapes are squares?
%(type1)%	squares	green	yellow	circles	red or blue	not yellow	squares	blue circles
%(type2)%	purple	yellow	circles	yellow	not purple	red circles	purple	yellow or green
%(type3)%	not blue	blue	not yellow	green or blue	squares	purple	yellow or blue	not purple
%(type4)%	red	not blue	blue or red	squares	blue squares	not red	circles	squares
%(tar1)%	100	1	5	10	7	38	2	3
%(tar2)%	20	8	25	5	9	14	1	6
%(tar3)%	60	5	45	20	4	9	4	12
%(tar4)%	5	15	35	15	1	26	3	9
%(tot)%	100	20	50	25	10	40	5	15
								
%(100ratio1)%	100/100	5/100	10/100	40/100	70/100	95/100	40/100	20/100
%(100ratio2)%	20/100	40/100	50/100	20/100	90/100	35/100	20/100	40/100
%(100ratio3)%	60/100	25/100	90/100	80/100	40/100	22.5/100	80/100	80/100
%(100ratio4)%	5/100	75/100	70/100	60/100	10/100	65/100	60/100	60/100
%(percent1)%	100	5	10	40	70	95	40	20
%(percent2)%	20	40	50	20	90	35	20	40
%(percent3)%	60	25	90	80	40	22.5	80	80
%(percent4)%	5	75	70	60	10	65	60	60
%(decimal1)%	1	0.05	0.1	0.4	0.7	0.95	0.4	0.2
%(decimal2)%	0.2	0.4	0.5	0.2	0.9	0.35	0.2	0.4
%(decimal3)%	0.6	0.25	0.9	0.8	0.4	0.225	0.8	0.8
%(decimal4)%	0.05	0.75	0.7	0.6	0.1	0.65	0.6	0.6
%(redfrac1)%	1	20-Jan	10-Jan	5-Feb	10-Jul	19/20	5-Feb	5-Jan
%(redfrac2)%	5-Jan	5-Feb	2-Jan	5-Jan	10-Sep	20-Jul	5-Jan	5-Feb
%(redfrac3)%	5-Mar	4-Jan	10-Sep	5-Apr	5-Feb	Sep-40	5-Apr	5-Apr
%(redfrac4)%	20-Jan	4-Mar	10-Jul	5-Mar	10-Jan	13/20	5-Mar	5-Mar
								
%(shapeORitem)%	shapes	shapes	shapes	shapes	pieces	shapes	shapes	shapes
%(pictureORgraph)%	in the picture	in the picture	in the picture	in the picture	in the picture	in the picture	in the picture	in the picture
%(gcf1)%	100	1	5	5	1	2	1	3
%(gcf2)%	20	4	25	5	1	2	1	3
%(gcf3)%	20	5	5	5	2	1	1	3
%(gcf4)%	5	5	5	5	1	2	1	3
								
%(tot1)%	100	20	50	25	10	40	5	15
%(tot2)%	100	20	50	25	10	40	5	15
%(tot3)%	100	20	50	25	10	40	5	15
%(tot4)%	100	20	50	25	10	40	5	15
%(bugTot1)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot2)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot3)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot4)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugMsg1)%	-	-	-	-	-	-	-	-
%(bugMsg2)%	-	-	-	-	-	-	-	-
%(bugMsg3)%	-	-	-	-	-	-	-	-
%(bugMsg4)%	-	-	-	-	-	-	-	-
								
%(q1-target-h1)%	"To work through question 1, you must first find the number of shapes that are squares."	"To work through question 1, you must first find the number of shapes that are green."	"To work through question 1, you must first find the number of shapes that are yellow."	"To work through question 1, you must first find the number of shapes that are circles."	"To work through question 1, you must first find the number of pieces that are red or blue."	"To work through question 1, you must first find the number of shapes that are not yellow."	"To work through question 1, you must first find the number of shapes that are squares."	"To work through question 1, you must first find the number of shapes that are blue circles."
%(q1-target-h2)%	How many shapes are squares?	How many shapes are green?	How many shapes are yellow?	How many shapes are circles?	How many pieces are red or blue?	How many shapes are not yellow?	How many shapes are squares?	How many shapes are blue circles?
%(q2-target-h1)%	"To work through question 2, you must first find the number of shapes that are purple."	"To work through question 2, you must first find the number of shapes that are yellow."	"To work through question 2, you must first find the number of shapes that are circles."	"To work through question 2, you must first find the number of shapes that are yellow."	"To work through question 2, you must first find the number of pieces that are not purple."	"To work through question 2, you must first find the number of shapes that are red circles."	"To work through question 2, you must first find the number of shapes that are purple."	"To work through question 2, you must first find the number of shapes that are yellow or green."
%(q2-target-h2)%	How many shapes are purple?	How many shapes are yellow?	How many shapes are circles?	How many shapes are yellow?	How many pieces are not purple?	How many shapes are red circles?	How many shapes are purple?	How many shapes are yellow or green?
%(q3-target-h1)%	"To work through question 3, you must first find the number of shapes that are not blue."	"To work through question 3, you must first find the number of shapes that are blue."	"To work through question 3, you must first find the number of shapes that are not yellow."	"To work through question 3, you must first find the number of shapes that are green or blue."	"To work through question 3, you must first find the number of pieces that are squares."	"To work through question 3, you must first find the number of shapes that are purple."	"To work through question 3, you must first find the number of shapes that are yellow or blue."	"To work through question 3, you must first find the number of shapes that are not purple."
%(q3-target-h2)%	How many shapes are not blue?	How many shapes are blue?	How many shapes are not yellow?	How many shapes are green or blue?	How many pieces are squares?	How many shapes are purple?	How many shapes are yellow or blue?	How many shapes are not purple?
%(q4-target-h1)%	"To work through question 4, you must first find the number of shapes that are red."	"To work through question 4, you must first find the number of shapes that are not blue."	"To work through question 4, you must first find the number of shapes that are blue or red."	"To work through question 4, you must first find the number of shapes that are squares."	"To work through question 4, you must first find the number of pieces that are blue squares."	"To work through question 4, you must first find the number of shapes that are not red."	"To work through question 4, you must first find the number of shapes that are circles."	"To work through question 4, you must first find the number of shapes that are squares."
