Problem Name	02cards	04vegetables	06desserts	08mississippi	09fastfood	11sports	13chess
%(startStateNodeName)%	example2						
%(graphic)%	Assets/02cards.png	Assets/04vegetables.png	Assets/06desserts.png	Assets/08mississippi.png	Assets/09fastfood.png	Assets/11sports.png	Assets/13chess.png
%(statement)%	Each row of suits represents a set of cards in a bag. Pretend that you close your eyes and reach into each of the bags. Please answer the question that goes along with each bag.	Each row of veggies represents a bag of frozen veggies. Pretend that you close your eyes and reach into each of the bags. Please answer the question that goes along with each bag.	Each row of desserts represents a choice of available desserts in a dessert display case. Pretend that you close your eyes and reach into each of the dessert cases. Please answer the question that goes along with each case.	Each row represents cards with the letters in the word MISSISSIPPI in a pile. Imagine you close your eyes and choose cards from the pile.	Each row represents fast food sitting on a tray. Imagine you close your eyes and take an item off of the tray.	Each row of balls represents different balls in a sports bag. Pretend you close your eyes and reach into each bag.	"Your friend prepared 6 bags where each contains chess pieces you see below. Each bag has a label for the piece you are suppose to take out with your eyes closed. If the piece you pick out matches the label, you win! Calculate the probability of winning for each bags."
%(question1)%	(1) What is the probability of picking a heart?	(1) What is the probability of picking a pea?	(1) What is the probability of picking a cupcake?	(1) What is the probability of picking an I?	(1) What is the probability of picking a cookie?	(1) What is the probability of picking a tennis ball?	"(1) ""Take out a pawn!"""
%(question2)%	(2) What is the probability of picking a diamond?	(2) What is the probability of picking a kernel of corn?	(2) What is the probability of picking an ice cream cone?	(2) What is the probability of picking a P?	(2) What is the probability of picking a shake?	(2) What is the probability of picking a football?	"(2) ""Take out a bishop!"""
%(question3)%	(3) What is the probability of picking a diamond?	(3) What is the probability of picking a lima bean?	(3) What is the probability of picking a lollipop?	(3) What is the probability of picking an M or an S?	(3) What is the probability of picking a cookie or a cheeseburger?	(3) What is the probability of picking a baseball?	"(3) ""DON'T take out a bishop!"""
%(question4)%	(4) What is the probability of picking a club?	(4) What is the probability of picking a carrot?	(4) What is the probability of picking a piece of pie?	(4) What is the probability of NOT picking an M?	(4) What is the probability of picking a french fry or a cheeseburger?	(4) What is the probability of picking a basketball or a tennis ball?	"(4) ""Take out a knight!"""
%(question5)%	(5) What is the probability of picking a spade?	(5) What is the probability of picking an eggplant?	(5) What is the probability of picking a milkshake?	(5) What is the probability of NOT picking a P or an I?	(5) What is the probability of NOT picking a cookie?	(5) What is the probability of picking a football or baseball?	"(5) ""DON'T take out a king!"""
%(question6)%	(6) What is the probability of picking a diamond?	(6) What is the probability of picking a lima bean?	(6) What is the probability of picking a lollipop?	(6) What is the probability of NOT picking a P?	(6) What is the probability of NOT picking a shake?	(6) What is the probability of NOT picking a basketball?	"(6) ""Take out a rook or a pawn!"""
%(question7)%	(7) What is the probability of picking a club?	(7) What is the probability of picking a pea?	(7) What is the probability of picking a cupcake?	-	-	-	-
%(allType)%	cards	vegetables	desserts	letter cards	food items	sport balls	chess pieces
%(q1_items)%	1	4	2	3	1	2	3
%(q1_type)%	picking a heart	picking a pea	picking a cupcake	picking an 'I'	picking a cookie	picking a tennis ball	picking a pawn
%(q1_typePlural)%	hearts	peas	cupcakes	I's	cookies	tennis balls	pawns
%(q2_items)%	2	2	1	2	2	3	3
%(q2_type)%	picking a diamond	picking a kernel of corn	picking an ice cream cone	picking a 'P'	picking a shake	picking a football	picking a bishop
%(q2_typePlural)%	diamonds	kernels of corn	ice cream cones	P's	shakes	footballs	bishops
%(q3_items)%	3	3	3	7	5	3	12
%(q3_type)%	picking a diamond	picking a lima bean	picking a lollipop	picking an 'M' or an 'S'	picking a cookie or a cheeseburger	picking a baseball	NOT picking a bishop
%(q3_typePlural)%	diamonds	lima beans	lollipops	M's and 'S's	cookies and cheeseburgers	baseballs	chess pieces that are NOT a bishop
%(q4_items)%	5	5	3	12	5	5	7
%(q4_type)%	picking a club	picking a carrot	picking a piece of pie	NOT picking an 'M'	picking a french fry or a cheeseburger	picking a basketball or a tennis ball	picking a knight
%(q4_typePlural)%	clubs	carrots	pieces of pie	letter cards that are NOT 'M'	french fries and cheeseburgers	basketballs and tennis balls	knights
%(q5_items)%	6	3	4	4	9	4	9
%(q5_type)%	picking a spade	picking an eggplant	picking a milkshake	NOT picking a 'P' or 'I'	NOT picking a cookie	picking a football or a baseball	NOT picking a king
%(q5_typePlural)%	spades	eggplants	milkshakes	letter cards that are NOT 'P' or 'I'	food items that are NOT cookies	footballs and baseballs	chess pieces that are NOT a king
%(q6_items)%	2	1	2	12	10	10	8
%(q6_type)%	picking a diamond	picking a lima bean	picking a lollipop	NOT picking a 'P'	NOT picking a shake	NOT picking a basketball	picking a rook or a pawn
%(q6_typePlural)%	diamonds	lima beans	lollipops	letter cards that are NOT 'P'	food items that are NOT shakes	sport balls that are NOT basketballs	rooks and pawns
%(q7_items)%	1	5	3	-	-	-	-
%(q7_type)%	picking a club	picking a pea	picking a cupcake	-	-	-	-
%(q7_typePlural)%	clubs	peas	cupcakes	-	-	-	-
%(q1_total_items)%	4	6	3	6	4	4	6
%(q2_total_items)%	6	8	5	11	6	9	9
%(q3_total_items)%	6	3	4	14	11	15	12
%(q4_total_items)%	7	7	6	15	13	10	15
%(q5_total_items)%	8	5	7	8	12	11	12
%(q6_total_items)%	3	2	6	13	15	14	14
%(q7_total_items)%	4	10	12	-	-	-	-
							
%(q1_gcf)%	1	2	1	3	1	2	3
%(q2_gcf)%	2	2	1	1	2	3	3
%(q3_gcf)%	3	3	1	7	1	3	12
%(q4_gcf)%	1	1	3	3	1	5	1
%(q5_gcf)%	2	1	1	4	3	1	3
%(q6_gcf)%	1	1	2	1	5	2	2
%(q7_gcf)%	1	5	3	-	-	-	-
							
%(q1_reduced_prob)%	1/4	2/3	2/3	1/2	1/4	1/2	1/2
%(q2_reduced_prob)%	1/3	1/4	1/5	2/11	1/3	1/3	1/3
%(q3_reduced_prob)%	1/2	1	3/4	1/2	5/11	1/5	1
%(q4_reduced_prob)%	5/7	5/7	1/2	4/5	5/13	1/2	7/15
%(q5_reduced_prob)%	3/4	3/5	4/7	1/2	3/4	4/11	3/4
%(q6_reduced_prob)%	2/3	1/2	1/3	12/13	2/3	5/7	4/7
%(q7_reduced_prob)%	1/4	1/2	1/4	-	-	-	-
%(q7visible)%	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
%(q7mm)%	1	1	1	0	0	0	0
							
%(q1-target-h1)%	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."
%(q1-target-h2)%	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?
