Problem Name	htmlfaded1	htmlfaded2	htmlfaded3	htmlProblem1	htmlProblem2	htmlProblem3	htmlProblem4	htmlProblem5	htmlProblem6	htmlProblem7
%(startStateNodeName)%	state5	state3	state1							
%(problem_statement)%	"Julia is catering a wedding reception and wants to make her special German chocolate brownies. She wants to make enough brownies so that every guest at the reception can have 3 brownies. Luckily, Julia already has 50 of her brownies in her freezer from last week's job, so she won't need to make quite as many. Using x and y as your variables, you can represent this situation with this equation:"	"You are interested in buying some shirts from a mail order company. The shirts cost $20 each. In addition, there is a flat shipping and handling charge of $6.00. Using x and y as your variables, you can represent this situation with this equation:"	"Raymond has been saving up to buy a new skateboard. Right now, he has $75 in savings and he almost has enough to afford the one he wants the most. Since Raymond always saves 1/5 of his paycheck from work, he hopes to have enough for the skateboard the next time he gets paid. Using x and y as your variables, you can represent this situation with this equation:"	"The wealthy producer of the lavish new Broadway musical New York Nights has put up $1,000,000 of his own money to stage the costly show. This is a risky move on his part, but since he receives 1/5 of the money raised from ticket sales, he hopes to make a profit with time. Using x and y as your variables, you can represent this situation with this equation:"	"Lee won first prize in a photography competition. Along with a plaque, he received a $15 gift certificate for the local photo shop. Lee  was planning to go to the store to buy rolls of film for his upcoming trip to the Grand Canyon. The brand of film Lee uses costs $7 for each roll, but with the prize, he won't have to spend as much money. Using x and y as your variables, you represent this situation with this equation:"	"A new high-rise apartment recently opened in downtown Pittsburgh. In order to rent an apartment there, you must first pay a deposit of $500, and, after moving in, a monthly rent of $750. Using x and y as your variables, you can represent this situation with this equation:"	"The manager of a popular new rock group receives a fixed salary of $30,000 from his agency each year. In addition, he receives 1/10 of the amount of money the group earns each year from record sales, concert tours, and media appearances. Using x and y as your variables, you can represent this situation with this equation:"	"Liz borrowed $90 from her parents to buy new sneakers. Since she has no money in savings, Liz is worried about how to repay her debt. Her parents suggest that Liz save 1/6 of her allowance for the whole year. By the end of the year, Liz should have more than enough saved to pay them back. If she has money left after repaying her parents, she can buy boots next year! Using x and y as your variables, you can represent this situation with this equation:"	"Alexis Fairweather is the star of the wildly popular prime-time soap opera Metropolis, and she recently signed a new contract for the next season of the show. For each episode of Metropolis in which she appears, Alexis will receive $50,000. In addition, at the end of the season, she will be given a bonus check in the amount of $100,000. Using x and y as your variables, you can represent this situation with this equation:"	"Rob is a member of the tennis league in his community. Every weekend, he plays matches against other members in his age group, and with each win he receives 5 points toward his ranking. Right now, Rob is ranked third, with a total of 65 points. The season is almost over, and he wants to improve his rank with match wins. Using x and y as your variables, you can represent this situation with this equation:"
%(problem_function)%	y=3x-50	y=20x+6	y=(1/5)x+75	"y=(1/5)x-1,000,000"	y=7x-15	y=750x+500	"y=(1/10)x+30,000"	y=(1/6)x-90	"y=50,000x+100,000"	y=5x+65
%(problem_instructions)%	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.	Please fill in the left-hand blanks with the mathematical expressions and the right-hand blanks with English descriptions of the expressions.
										
%(expression1)%	50	6	(1/5)x	"1,000,000"	15	500	(1/10)x	90	"100,000"	65
%(expression2)%	3x-50	20x+6	x	x	7x-15	750x	x	(1/6)x-90	"50,000x+100,000"	5x+65
%(expression3)%	3x	20	 1/5	 1/5	7x	750x+500	"30,000"	(1/6)x	"50,000x"	5x
%(expression4)%	x	20x	y	"(1/5)x-1,000,000"	x	x	"(1/10)x+30,000"	x	x	x
%(expression5)%	3	x	75	(1/5)x	7	750	1/10	 1/6	"50,000"	5
%(expression6)%	y	y	(1/5)x+75	y	y	y	y	y	y	y
%(definition1)%	the number of brownies	the cost	the total amount from his paycheck that is saved	the total profit he makes from the show	the cost of having the film developed	the cost	the cost	the amount of money Liz borrowed from her parents	the amount of money	the number of points he gets for each match win
%(definition2)%	the number of guests at the reception	the cost of each shirt	the amount of money	the amount the show makes from ticket sales	the cost of each roll of film	the cost of the deposit and rent for the apartment	the cost of cds	the total amount of Liz's allowance that she saves	the total amount she makes for all episodes	the number of points he gets the rest of the season
%(definition3)%	the total number of brownies needed for the guests	the cost of buttons	the cost of the skateboard	the total amount he receives from ticket sales	the cost	the cost of each month's rent for the apartment	the total amount the manager makes in a year	the cost	the number of seasons she has been on the show	the number of points
