Problem Name	1 Problem 1	1 Problem 2	1 Problem 3	1 Problem 4	1 Problem 5	1 Problem 6	1 Problem 7
%(startStateNodeName)%		state7	state2				
%(start-state-selection-row1)%	Exponent-1	Expansion-1	Exponent-1	Exponent-1	Expansion-1	Expansion-1	Exponent-1
%(start-state-value-row1)%	3^4	2*2*2*2*2	6^1	6^3	4*4*4*4	2*3*3	15^1*7^0
%(start-state-selection-row2)%	Exponent-2	Exponent-2	Exponent-2	Expansion-2	Exponent-2	Exponent-2	Exponent-2
%(start-state-value-row2)%	8^1	7^2	4^3	8*8	2^6	4^1*5^2	2^1*4^3
%(start-state-selection-row3)%	Expansion-3	Exponent-3	Exponent-3	Exponent-3	Expansion-3	Exponent-3	Exponent-3
%(start-state-value-row3)%	5*5*5	3^3	10^3	2^0	2*9*9	7^1*2^3	3^1*2^5
%(start-state-selection-row4)%	Exponent-4	Exponent-4	Expansion-4	Exponent-4	Exponent-4	Exponent-4	Expansion-4
%(start-state-value-row4)%	9^0	5^2	1*1*1*1*1*1	12^2	14^0	2^1*6^2	9*5
							
%(selection-row1)%	Expansion-1	Exponent-1	Expansion-1	Expansion-1	Exponent-1	Exponent-1	Expansion-1
%(input-row1)%		%(exponent-1)%	%(expansion-1)%	%(expansion-1)%	%(exponent-1)%	%(exponent-1)%	%(expansion-1)%
%(selection-row2)%	Expansion-2	Expansion-2	Expansion-2	Exponent-2	Expansion-2	Expansion-2	Expansion-2
%(input-row2)%		%(expansion-2)%	%(expansion-2)%	%(exponent-2)%	%(expansion-2)%	%(expansion-2)%	%(expansion-2)%
%(selection-row3)%	Exponent-3	Expansion-3	Expansion-3	Expansion-3	Exponent-3	Expansion-3	Expansion-3
%(input-row3)%		%(expansion-3)%	%(expansion-3)%	%(expansion-3)%	%(exponent-3)%	%(expansion-3)%	%(expansion-3)%
%(selection-row4)%	Expansion-4	Expansion-4	Exponent-4	Expansion-4	Expansion-4	Expansion-4	Exponent-4
%(input-row4)%		%(expansion-4)%	%(exponent-4)%	%(expansion-4)%	%(expansion-4)%	%(expansion-4)%	%(exponent-4)%
							
%(expansion-1)%	3*3*3*3	2*2*2*2*2	6	6*6*6	4*4*4*4	2*3*3	15*1
%(exponent-1)%	3^4	2^5	6^1	6^3	4^4	2^1*3^2	15^1*7^0
%(x1)%	3	2	6	6	4	2	15
%(e1)%	4	5	1	3	4	1	1
%(x1b)%						3	7
%(e1b)%						2	0
%(value-1)%	81	32	6	216	256	18	15
%(expansion-2)%	8	7*7	4*4*4	8*8	2*2*2*2*2*2	4*5*5	2*4*4*4
%(exponent-2)%	8^1	7^2	4^3	8^2	2^6	4^1*5^2	2^1*4^3
%(x2)%	8	7	4	8	2	4	2
%(e2)%	1	2	3	2	6	1	1
%(x2b)%						5	4
%(e2b)%						2	3
%(value-2)%	8	49	64	64	64	100	128
%(exponent-3)%	5^3	3^3	10^3	2^0	2^1*9^2	7^1*2^3	3^1*2^5
%(expansion-3)%	5*5*5	3*3*3	10*10*10	1	2*9*9	7*2*2*2	3*2*2*2*2*2
%(x3)%	5	3	10	2	9	7	3
%(e3)%	3	3	3	0	2	1	1
%(x3b)%						2	2
%(e3b)%						3	5
%(value-3)%	125	27	1000	1	162	56	96
%(expansion-4)%	1	5*5	1*1*1*1*1*1	12*12	1	2*6*6	9*5
%(exponent-4)%	9^0	5^2	1^6	12^2	14^0	2^1*6^2	9^1*5^1
%(x4)%	9	5	1	12	14	2	9
%(e4)%	0	2	6	2	0	1	1
%(x4b)%						6	5
%(e4b)%						2	1
%(value-4)%	1	25	1	144	1	72	45
							
							
