Problem Name	02cards	04vegetables	06sports	08desserts
%(startStateNodeName)%	example2			
%(graphic)%	7-18images/02cards.png	7-18images/04vegetables.png	7-18images/06sports.png	7-18images/08desserts.png
%(statement)%	Each row of suits represents a set of cards in a bag. Pretend that you close your eyes and reach into each of the bags. Please answer the question that goes along with each bag.	Each row of veggies represents a bag of frozen veggies. Pretend that you close your eyes and reach into each of the bags. Please answer the question that goes along with each bag.	Each row of balls represents different balls in a sports bag. Pretend you close your eyes and reach into each bag.	Each row of desserts represents a choice of available desserts in a dessert display case. Pretend that you close your eyes and reach into each of the dessert cases. Please answer the question that goes along with each case.
%(question1)%	(1) What is the probability of picking a heart?	(1) What is the probability of picking a pea?	(1) What is the probability of picking a tennis ball?	(1) What is the probability of picking a cupcake?
%(question2)%	(2) What is the probability of picking a diamond?	(2) What is the probability of picking a kernel of corn?	(2) What is the probability of NOT picking a basketball?	(2) What is the probability of picking an ice cream cone?
%(question3)%	(3) What is the probability of picking a diamond?	(3) What is the probability of picking a lima bean?	(3) What is the probability of picking a football?	(3) What is the probability of picking a lollipop?
%(question4)%	(4) What is the probability of picking a club?	(4) What is the probability of picking a carrot?	(4) What is the probability of picking a baseball?	(4) What is the probability of picking a piece of pie?
%(question5)%	(5) What is the probability of picking a spade?	(5) What is the probability of picking an eggplant?	(5) What is the probability of picking a basketball?	(5) What is the probability of picking a milkshake?
%(question6)%	(6) What is the probability of picking a diamond?	(6) What is the probability of picking a lima bean?	(6) What is the probability of picking a tennis ball?	(6) What is the probability of picking a lollipop?
%(question7)%	(7) What is the probability of picking a club?	(7) What is the probability of picking a pea?	(7) What is the probability of NOT picking a basketball or a football?	(7) What is the probability of picking a cupcake?
%(allType)%	cards	vegetables	sport balls	desserts
%(q1_items)%	1	4	6	2
%(q1_type)%	picking a heart	picking a pea	picking a tennis ball	picking a cupcake
%(q1_typePlural)%	hearts	peas	tennis balls	cupcakes
%(q2_items)%	2	2	4	1
%(q2_type)%	picking a diamond	picking a kernel of corn	NOT picking a basketball	picking an ice cream cone
%(q2_typePlural)%	diamonds	kernels of corn	sport balls that are NOT basketballs	ice cream cones
%(q3_items)%	3	3	1	3
%(q3_type)%	picking a diamond	picking a lima bean	picking a football	picking a lollipop
%(q3_typePlural)%	diamonds	lima beans	footballs	lollipops
%(q4_items)%	5	6	4	3
%(q4_type)%	picking a club	picking a carrot	picking a baseball	picking a piece of pie
%(q4_typePlural)%	clubs	carrots	baseballs	pieces of pie
%(q5_items)%	6	3	1	4
%(q5_type)%	picking a spade	picking an eggplant	picking a basketball	picking a milkshake
%(q5_typePlural)%	spades	eggplants	basketballs	milkshakes
%(q6_items)%	2	1	3	2
%(q6_type)%	picking a diamond	picking a lima bean	picking a tennis ball	picking a lollipop
%(q6_typePlural)%	diamonds	lima beans	tennis balls	lollipops
%(q7_items)%	1	5	2	3
%(q7_type)%	picking a club	picking a pea	NOT picking a basketball or a football	picking a cupcake
%(q7_typePlural)%	clubs	peas	sport balls that are NOT basketballs or footballs	cupcakes
%(q1_total_items)%	4	6	9	2
%(q2_total_items)%	6	8	5	5
%(q3_total_items)%	6	3	2	4
%(q4_total_items)%	7	8	4	6
%(q5_total_items)%	8	5	9	7
%(q6_total_items)%	3	2	9	6
%(q7_total_items)%	4	10	6	12
				
%(q1_gcf)%	1	2	3	2
%(q2_gcf)%	2	2	1	1
%(q3_gcf)%	3	3	1	1
%(q4_gcf)%	1	2	4	3
%(q5_gcf)%	2	1	1	1
%(q6_gcf)%	1	1	3	2
%(q7_gcf)%	1	5	2	3
				
%(q1_reduced_prob)%	1/4	2/3	2/3	1
%(q2_reduced_prob)%	1/3	1/4	4/5	1/5
%(q3_reduced_prob)%	1/2	1	1/2	3/4
%(q4_reduced_prob)%	5/7	3/4	1	1/2
%(q5_reduced_prob)%	3/4	3/5	1/9	4/7
%(q6_reduced_prob)%	2/3	1/2	1/3	1/3
%(q7_reduced_prob)%	1/4	1/2	1/3	1/4
%(q1_AltReduced)%	n/a	n/a	n/a	1/1
%(q2_AltReduced)%	n/a	n/a	n/a	n/a
%(q3_AltReduced)%	n/a	1/1	n/a	n/a
%(q4_AltReduced)%	n/a	n/a	1/1	n/a
%(q5_AltReduced)%	n/a	n/a	n/a	n/a
%(q6_AltReduced)%	n/a	n/a	n/a	n/a
%(q7_AltReduced)%	n/a	n/a	n/a	n/a
%(q7visible)%	TRUE	TRUE	TRUE	TRUE
%(q7mm)%	1	1	1	1
				
%(q1-target-h1)%	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of %(q1_typePlural)% that you see in question 1."
