Problem Name	1	2	3	4	5	6	7	8	9	10	0intro
%(startStateNodeName)%	example1	example2	example3								
%(statement)%	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."
%(graphic)%	Assets/01.png	Assets/02.png	Assets/03.png	Assets/04.png	Assets/05.png	Assets/06.png	Assets/07.png	Assets/08.png	Assets/09.png	Assets/10.png	Assets/00.png
%(question1)%	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the pieces are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the shapes are %(type1)%?	What percent of the pieces are %(type1)%?	What percent of the shapes are %(type1)%?
%(question2)%	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the pieces are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the shapes are %(type2)%?	What percent of the pieces are %(type2)%?	What percent of the shapes are %(type2)%?
%(question3)%	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the purple shapes are %(type3)%?	What percent of the pieces are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the circles shapes are %(type3)%?	What percent of the shapes are %(type3)%?	What percent of the green shapes are %(type3)%?	What percent of the pieces are %(type3)%?	What percent of the shapes are %(type3)%?
%(question4)%	What percent of the shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the blue shapes are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the pieces are %(type4)%?	What percent of the shapes are %(type4)%?	What percent of the square shapes are %(type4)%?	What percent of the square shapes are %(type4)%?	What percent of the red shapes are %(type4)%?	What percent of the pieces on the right half of the circle are %(type4)%?	What percent of the shapes are %(type4)%?
%(type1)%	purple or yellow	not blue	circles	green	green	yellow or green	red squares	black	not squares	yellow	circles
%(type2)%	purple	not orange	blue	yellow circles	not blue	yellow	blue	green or yellow	purple	not green or red	red
%(type3)%	black	yellow	red	circles	purple	green	purple	squares	squares	not red	squares
%(type4)%	green	red	squares	not yellow or red	red or green	not yellow	yellow or blue	black	circles	not red	green or blue
%(tar1)%	15	9	3	5	2	30	5	6	13	2	10
%(tar2)%	5	6	4	1	9	25	15	30	4	6	6
%(tar3)%	18	3	1	6	4	5	10	24	2	8	15
%(tar4)%	27	2	2	15	5	15	20	6	1	3	11
%(tot)%	100	10	5	25	10	40	50	60	20	10	25
											
%(100ratio1)%	15/100	90/100	60/100	20/100	20/100	75/100	10/100	10/100	65/100	20/100	40/100
%(100ratio2)%	5/100	60/100	80/100	4/100	90/100	62.5/100	30/100	50/100	20/100	60/100	24/100
%(100ratio3)%	18/100	30/100	20/100	60/100	40/100	12.5/100	40/100	40/100	20/100	80/100	60/100
%(100ratio4)%	27/100	20/100	50/100	60/100	50/100	37.5/100	80/100	25/100	20/100	60/100	44/100
%(percent1)%	15	90	60	20	20	75	10	10	65	20	40
%(percent2)%	5	60	80	4	90	62.5	30	50	20	60	24
%(percent3)%	18	30	20	60	40	12.5	40	40	20	80	60
%(percent4)%	27	20	50	60	50	37.5	80	25	20	60	44
%(decimal1)%	0.15	0.9	0.6	0.2	0.2	0.75	0.1	0.1	0.65	0.2	0.4
%(decimal2)%	0.05	0.6	0.8	0.04	0.9	0.625	0.3	0.5	0.2	0.6	0.24
%(decimal3)%	0.18	0.3	0.2	0.6	0.4	0.125	0.4	0.4	0.2	0.8	0.6
%(decimal4)%	0.27	0.2	0.5	0.6	0.5	0.375	0.8	0.25	0.2	0.6	0.44
%(redfrac1)%	   3/20 	   9/10 	   3/5  	   1/5  	   1/5  	   3/4  	   1/10 	   1/10 	13/20	   1/5  	   2/5  
%(redfrac2)%	   1/20 	   3/5  	   4/5  	   1/25 	   9/10 	62.5/100	   3/10 	   1/2  	   1/5  	   3/5  	   6/25 
%(redfrac3)%	   9/50 	   3/10 	   1/5  	   3/5  	   2/5  	12.5/100	   2/5  	   2/5  	   1/5  	   4/5  	   3/5  
%(redfrac4)%	27/100	   1/5  	   1/2  	   3/5  	   1/2  	37.5/100	   4/5  	   1/4  	   1/5  	   3/5  	  11/25 
											
%(gcf1)%	5	1	1	5	2	10	5	6	1	2	5
%(gcf2)%	5	2	1	1	1	5	5	30	4	2	1
