Problem Name	2 Problem 1	2 Problem 2	2 Problem 3	2 Problem 4	2 Problem 5	2 Problem 6	2 Problem 7	2 Problem 8
%(startStateNodeName)%	state4							
%(start-state-selection-row1)%	Exponent-1	Exponent-1	Expansion-1	Exponent-1	Expansion-1	Exponent-1	Exponent-1	Expansion-1
%(start-state-value-row1)%	5^2 c^4	6^1 z^0	y*y*z	8^1 z^1	a*a*c*c*c	a^2 z^0	7^2 x^1	5*c*c
%(start-state-selection-row2)%	Exponent-2	Expansion-2	Exponent-2	Exponent-2	Exponent-2	Expansion-2	Exponent-2	Exponent-2
%(start-state-value-row2)%	4^0 x^3	3*d*d*d*d*d	3^3 b^5	x^4 y^3	b^1 y^1	4*4*4*a*a	x^4 z^1	y^0 z^0
%(start-state-selection-row3)%	Expansion-3	Exponent-3	Exponent-3	Expansion-3	Exponent-3	Exponent-3	Exponent-3	Exponent-3
%(start-state-value-row3)%	x*x*x*y*y	a^0 c^0	3^0 z^0	5*5*d*d	9^2 x^0	a^2 b^5	4^3 g^0	8^0 b^1
%(start-state-selection-row4)%	Exponent-4	Exponent-4	Exponent-4	Exponent-4	Exponent-4	Exponent-4	Expansion-4	Exponent-4
%(start-state-value-row4)%	a^1 b^1	b^1 c^4	c^1 d^0	b^0 c^4	6^2 z^2	2^2 c^1	b*c*c*c*c	a^2 d^1
								
%(selection-row1)%	Expansion-1	Expansion-1	Exponent-1	Expansion-1	Exponent-1	Expansion-1	Expansion-1	Exponent-1
%(input-row1)%	%(expansion-1)%	%(expansion-1-regex)%	%(exponent-1)%	%(expansion-1-regex)%	%(exponent-1)%	%(expansion-1-regex)%	%(expansion-1-regex)%	%(exponent-1)%
%(selection-row2)%	Expansion-2	Exponent-2	Expansion-2	Expansion-2	Expansion-2	Exponent-2	Expansion-2	Expansion-2
%(input-row2)%	%(expansion-2)%	%(exponent-2)%	%(expansion-2-regex)%	%(expansion-2-regex)%	%(expansion-2-regex)%	%(exponent-2)%	%(expansion-2-regex)%	%(expansion-2-regex)%
%(selection-row3)%	Exponent-3	Expansion-3	Expansion-3	Exponent-3	Expansion-3	Expansion-3	Expansion-3	Expansion-3
%(input-row3)%	%(exponent-3)%	%(expansion-3-regex)%	%(expansion-3-regex)%	%(exponent-3)%	%(expansion-3-regex)%	%(expansion-3-regex)%	%(expansion-3-regex)%	%(expansion-3-regex)%
%(selection-row4)%	Expansion-4	Expansion-4	Expansion-4	Expansion-4	Expansion-4	Expansion-4	Exponent-4	Expansion-4
%(input-row4)%	%(expansion-4-regex)%	%(expansion-4-regex)%	%(expansion-4-regex)%	%(expansion-4-regex)%	%(expansion-4-regex)%	%(expansion-4-regex)%	%(exponent-4)%	%(expansion-4-regex)%
								
%(expansion-1-regex)%	5\\*?5\\*?c\\*?c\\*?c\\*?c	6\\*?1	y\\*?y\\*?z	8\\*?z	a\\*?a\\*?c\\*?c\\*?c	a\\*?a\\*?1	7\\*?7\\*?x	5\\*?c\\*?c
%(expansion-1)%	5*5*c*c*c*c	6*1	y*y*z	8*z	a*a*c*c*c	a*a*1	7*7*x	5*c*c
%(exponent-1)%	5\\^2\\s*c\\^4	6\\^1\\s*z\\^0	y\\^2\\*?z	8\\^1\\s*z\\^1	a\\^2\\s*c\\^3	a\\^2\\s*z\\^0	7\\^2\\s*x\\^1	5\\^1\\s*c\\^2
%(exponent-plain1)%	5^2 c^4	6^1 z^0	y^2*z	8^1 z^1	a^2 c^3	a^2 z^0	7^2 x^1	5^1 c^2
%(x1a)%	5	6	y	8	a	a	7	5
%(x1b)%	c	z	z	z	c	z	x	c
%(value-1)%	25\\*?c\\^4	6	y\\^2\\*?z	8z	a\\^2\\s*c\\^3	a\\^2	49x	5\\*?c\\^2
%(value-1-demo)%	25c^4	6	y^2*z	8z	a^2 c^3	a^2	49x	5c^2
%(expansion-2-regex)%	1\\*?x\\*?x\\*?x	3\\*?d\\*?d\\*?d\\*?d\\*?d	3\\*?3\\*?3\\*?b\\*?b\\*?b\\*?b\\*?b	x\\*?x\\*?x\\*?x\\*?y\\*?y\\*?y	b\\*?y	4\\*?4\\*?4\\*?a\\*?a	x\\*?x\\*?x\\*?x\\*?z	1\\*?1
%(expansion-2)%	1*x*x*x	3*d*d*d*d*d	3*3*3*b*b*b*b*b	x*x*x*x*y*y*y	b*y	4*4*4*a*a	x*x*x*x*z	1*1
%(exponent-2)%	4\\^0\\s*x\\^3	3\\^1\\s*d\\^5	3\\^3\\s*b\\^5	x\\^4\\s*y\\^3	b\\^1\\s*y\\^1	4\\^3\\s*a\\^2	x\\^4\\s*z\\^1	y\\^0\\s*z\\^0
