Problem Name	00intro	01candy	03candy	05marble	07marble	10marble	12marble
%(startStateNodeName)%	completed	example1	example3				
%(graphic)%	Assets/00flowers.png	Assets/01candy.png	Assets/03candy.png	Assets/05marble.png	Assets/07marble.png	Assets/10marble.png	Assets/12marble.png
%(problem_statement)%	The graph represents a large bundle of flowers. The bars show how many flowers of each color are in the bundle. Pretend you close your eyes and pick out one flower from the bundle. Please answer each of the questions.	The graph represents a bag of candy. The bars show how many pieces of each color candy are in the bag. Pretend you close your eyes and reach into the bag. Please answer each of the questions.	The graph represents a bag of candy. The bars show how many pieces of each color of candy are in the bag. Pretend you close your eyes and reach into the bag. Please answer each of the questions.	The graph represents a bag of marbles. The bars show how many marbles of each color are in the bag. Pretend you close your eyes and reach into the bag. Please answer each of the question.	The graph represents a bag of marbles. The bars show how many marbles of each color are in the bag. Pretend you close your eyes and reach into the bag. Please answer each of the question.	The graph represents a bag of marbles. The bars show how many marbles of each color are in the bag. Pretend that you close your eyes and reach into the bag. Please answer each of the questions.	The graph represents a bag of marbles. The bars show how many marbles of each color are in the bag. Pretend that you close your eyes and reach into the bag. Please answer each of the questions.
%(question1)%	What is the probability of picking a red flower?	What is the probability of picking a red piece of candy?	What is the probability of picking a green piece of candy?	What is the probability of picking a blue or green marble?	What is the probability of picking a yellow marble?	What is the probability of picking a red marble?	What is the probability of picking a yellow marble?
%(question2)%	What is the probability of picking a yellow flower?	What is the probability of picking a yellow piece of candy?	What is the probability of picking a yellow piece of candy?	What is the probability of picking a yellow marble?	What is the probability of picking a green marble?	What is the probability of picking a blue marble?	What is the probability of picking a blue marble?
%(question3)%	What is the probability of picking a blue or purple flower?	What is the probability of picking a green or purple piece of candy?	What is the probability of picking a red or purple piece of candy?	What is the probability of NOT picking a red marble?	What is the probability of picking a blue or red marble?	What is the probability of picking a red or blue marble?	What is the probability of picking a marble that is not blue?
%(question4)%	What is the probability of NOT picking a purple flower?	What is the probability of NOT picking a purple piece of candy?	What is the probability of NOT picking a red piece of candy?	What is the probability of NOT picking a blue marble?	What is the probability of picking a yellow or green marble?	What is the probability of picking a marble that is not green?	What is the probability of picking a yellow or blue marble?
%(question5)%	What is the probability of NOT picking a blue flower?	What is the probability of NOT picking a green piece of candy?	What is the probability of NOT picking a green or red piece of candy?	What is the probability of picking a red or green marble?	What is the probability of NOT picking a blue marble?	What is the probability of picking a marble that is not blue?	What is the probability of picking a marble that is not red?
%(question6)%	What is the probability of NOT picking a yellow or red flower?	What is the probability of NOT picking a yellow or red piece of candy?	What is the probability of NOT picking a purple or yellow piece of candy?	What is the probability of picking a blue or yellow marble?	What is the probability of NOT picking a red marble?	-	-
							
%(total_items)%	24	20	30	30	90	27	10
%(q1_target_items)%	10	6	6	9	20	6	5
%(q2_target_items)%	3	4	12	14	25	3	1
%(q3_target_items)%	11	10	12	23	45	9	9
%(q4_target_items)%	15	12	27	26	45	17	6
%(q5_target_items)%	22	18	21	12	60	24	6
%(q6_target_items)%	11	10	9	18	75	-	-
%(q1_unreduced_prob)%	10/24	6/20	6/30	9/30	20/90	6/27	5/10
%(q2_unreduced_prob)%	3/24	4/20	12/30	14/30	25/90	3/27	1/10
%(q3_unreduced_prob)%	11/24	10/20	12/30	23/30	45/90	9/27	9/10
%(q4_unreduced_prob)%	15/24	12/20	27/30	26/30	45/90	17/27	6/10
%(q5_unreduced_prob)%	22/24	18/20	21/30	12/30	60/90	24/27	6/10
%(q6_unreduced_prob)%	11/24	10/20	9/30	18/30	75/90	-	-
%(q1_greatest_com_fact)%	2	2	6	3	10	3	5
%(q2_greatest_com_fact)%	3	4	6	2	5	3	1
%(q3_greatest_com_fact)%	1	10	6	1	45	9	1
%(q4_greatest_com_fact)%	3	4	3	2	45	1	2
